,time,vehiclestatus,chargestatus,runmodel,speed,summileage,sumvoltage,sumcurrent,soc,dcdcstatus,gearnum,insulationresistance,max_volt_num,max_volt_cell_id,max_cell_volt,min_volt_num,min_volt_cell_id,min_cell_volt,max_temp_num,max_temp_probe_id,max_temp,min_temp_num,min_temp_probe_id,min_temp,power,distince,distance
0,01-10 01,1,4,1,0.0,39938.0,397.5,0.4,100,1,15,6872,1,76,4.147,1,75,4.137,1,7,6,1,24,5,159.0,0.0,0.0
1,01-10 01,1,4,1,0.0,39938.0,397.5,0.4,100,1,15,5180,1,76,4.147,1,75,4.137,1,7,6,1,24,5,159.0,0.0,0.0
2,01-10 01,1,4,1,0.0,39938.0,397.5,0.4,100,1,15,5175,1,17,4.147,1,75,4.137,1,7,6,1,24,5,159.0,0.0,0.0
3,01-10 01,1,4,1,0.0,39938.0,397.5,0.4,100,1,15,5187,1,17,4.147,1,75,4.137,1,7,6,1,24,5,159.0,0.0,0.0
4,01-10 01,1,4,1,0.0,39938.0,397.5,0.4,100,1,15,5187,1,17,4.147,1,75,4.137,1,7,6,1,24,5,159.0,0.0,0.0
5,01-10 01,1,4,1,0.0,39938.0,397.5,0.4,100,1,15,5187,1,17,4.147,1,75,4.137,1,7,6,1,24,5,159.0,0.0,0.0
6,01-10 01,1,4,1,0.0,39938.0,397.5,0.4,100,1,15,5180,1,17,4.147,1,75,4.136,1,7,6,1,24,5,159.0,0.0,0.0
7,01-10 01,1,4,1,0.0,39938.0,397.5,0.4,100,1,15,5180,1,17,4.147,1,75,4.137,1,7,6,1,24,5,159.0,0.0,0.0
8,01-10 01,1,4,1,0.0,39938.0,397.5,0.4,100,1,15,5175,1,17,4.147,1,75,4.136,1,7,6,1,24,5,159.0,0.0,0.0
9,01-10 01,1,4,1,0.0,39938.0,397.5,0.4,100,1,15,5175,1,17,4.147,1,75,4.136,1,7,6,1,24,5,159.0,0.0,0.0
10,01-10 01,1,4,1,0.0,39938.0,397.5,0.4,100,1,15,5185,1,17,4.147,1,75,4.136,1,7,6,1,24,5,159.0,0.0,0.0
11,01-10 01,1,4,1,0.0,39938.0,397.5,0.4,100,1,15,5185,1,17,4.147,1,75,4.136,1,7,6,1,24,5,159.0,0.0,0.0
12,01-10 01,1,4,1,0.0,39938.0,397.5,0.5,100,1,15,5182,1,17,4.147,1,75,4.136,1,7,6,1,24,5,198.75,0.0,0.0
13,01-10 01,1,4,1,0.1,39938.0,397.5,3.6,100,1,13,5182,1,17,4.144,1,75,4.134,1,7,6,1,24,5,1431.0,0.0,0.0
14,01-10 01,1,4,1,1.0,39938.0,397.2,3.8,100,1,13,5182,1,17,4.144,1,75,4.134,1,7,6,1,24,5,1509.36,0.0,0.0
15,01-10 01,1,4,1,0.0,39938.0,397.5,1.7,100,1,14,5182,1,17,4.145,1,75,4.135,1,7,6,1,24,5,675.75,0.0,0.0
16,01-10 01,1,4,1,3.0,39938.0,397.2,3.2,100,1,14,5182,1,17,4.143,1,75,4.133,1,7,6,1,24,5,1271.04,0.0,0.0
17,01-10 01,1,4,1,0.9,39938.0,397.2,5.9,100,1,14,5182,1,17,4.143,1,75,4.133,1,7,6,1,24,5,2343.48,0.0,0.0
18,01-10 01,1,4,1,3.5,39938.0,396.2,6.7,100,1,14,4697,1,17,4.1389999999999985,1,75,4.128,1,7,6,1,24,5,2654.54,0.0,0.0
19,01-10 01,1,4,1,5.9,39938.0,396.5,22.3,100,1,14,4697,1,17,4.137,1,75,4.117,1,7,6,1,24,5,8841.95,0.0,0.0
20,01-10 01,1,4,1,7.9,39938.0,395.7,19.7,100,1,14,4707,1,76,4.137,1,32,4.118,1,15,6,1,24,5,7795.289999999999,0.0,0.0
21,01-10 01,1,4,1,6.3,39938.0,395.7,11.2,100,1,14,4707,1,76,4.132,1,32,4.118,1,15,6,1,24,5,4431.839999999999,0.0,0.0
22,01-10 01,1,4,1,4.5,39938.0,396.5,8.6,100,1,14,4707,1,76,4.135,1,32,4.121,1,15,6,1,24,5,3409.8999999999996,0.0,0.0
23,01-10 01,1,4,1,6.0,39938.0,396.2,14.3,100,1,14,5192,1,76,4.136,1,32,4.119,1,15,6,1,24,5,5665.66,0.0,0.0
24,01-10 01,1,4,1,4.2,39938.0,395.7,13.5,100,1,14,5192,1,17,4.133,1,75,4.119,1,15,6,1,24,5,5341.95,0.0,0.0
25,01-10 01,1,4,1,0.4,39938.0,396.2,7.9,100,1,14,5152,1,17,4.135,1,75,4.121,1,15,6,1,24,5,3129.98,0.0,0.0
26,01-10 01,1,4,1,0.0,39938.0,396.7,1.8,100,1,14,5152,1,17,4.137,1,75,4.118,1,15,6,1,24,5,714.06,0.0,0.0
27,01-10 01,1,4,1,1.7,39938.0,396.7,3.3,100,1,13,5155,1,17,4.137,1,75,4.127,1,15,6,1,24,5,1309.11,0.0,0.0
28,01-10 01,1,4,1,1.5,39938.0,396.7,3.7,100,1,14,5155,1,17,4.137,1,75,4.127,1,15,6,1,24,5,1467.79,0.0,0.0
29,01-10 01,1,4,1,0.0,39938.0,396.2,0.8,100,1,15,5172,1,17,4.138,1,75,4.125,1,15,6,1,24,5,316.96000000000004,0.0,0.0
30,01-10 01,1,4,1,0.0,39938.0,395.7,0.8,100,1,15,5172,1,17,4.138,1,75,4.117,1,15,6,1,24,5,316.56,0.0,0.0
31,01-10 01,1,4,1,0.0,39938.0,396.7,20.5,100,1,13,5172,1,17,4.137,1,32,4.12,1,15,6,1,24,5,8132.349999999999,0.0,0.0
32,01-10 01,1,4,1,3.5,39938.0,396.2,22.3,100,1,14,5172,1,17,4.132,1,32,4.118,1,15,6,1,24,5,8835.26,0.0,0.0
33,01-10 01,1,4,1,0.0,39938.0,396.5,4.6,100,1,14,5175,1,17,4.134,1,32,4.118,1,15,6,1,24,5,1823.8999999999999,0.0,0.0
34,01-10 01,1,4,1,0.0,39938.0,396.7,1.9,100,1,14,5175,1,76,4.137,1,16,4.126,1,15,6,1,24,5,753.7299999999999,0.0,0.0
35,01-10 01,1,4,1,2.2,39938.0,396.5,3.0,100,1,13,5182,1,76,4.136,1,16,4.126,1,15,6,1,24,5,1189.5,0.0,0.0
