,time,vehiclestatus,chargestatus,runmodel,speed,summileage,sumvoltage,sumcurrent,soc,dcdcstatus,gearnum,insulationresistance,enginestatus,grankshaftspeed,enginefuelconsumptionrate,max_volt_num,max_volt_cell_id,max_cell_volt,min_volt_num,min_volt_cell_id,min_cell_volt,max_temp_num,max_temp_probe_id,max_temp,min_temp_num,min_temp_probe_id,min_temp,power,distance
0,01-06 15 3,1,3,1,79.7,69788.0,361.2,10.4,73,1,14,5232,2.0,0.0,3.0,1,61,3.769,1,96,3.761,1,3,25,1,6,23,3756.48,0.0
1,01-06 15 3,1,3,1,78.6,69789.0,360.0,13.1,72,1,14,5247,2.0,0.0,3.0,1,61,3.753,1,96,3.743,1,3,25,1,6,23,4716.0,1.0
2,01-06 15 3,1,3,1,74.2,69789.0,361.2,9.5,72,1,14,5195,2.0,0.0,3.0,1,61,3.765,1,96,3.757,1,3,25,1,6,23,3431.4,1.0
3,01-06 15 3,1,3,1,81.8,69789.0,350.5,63.9,72,1,14,5195,2.0,0.0,3.0,1,61,3.663,1,96,3.645,1,3,25,1,6,23,22396.95,1.0
4,01-06 15 3,1,3,1,74.1,69789.0,361.2,3.4,71,1,14,5187,2.0,0.0,3.0,1,86,3.789,1,96,3.782,1,3,25,1,6,23,1228.08,1.0
5,01-06 15 3,1,3,1,65.3,69790.0,359.5,20.7,72,1,14,5277,2.0,0.0,3.0,1,86,3.746,1,96,3.737,1,3,25,1,6,23,7441.65,2.0
6,01-06 15 3,1,3,1,61.5,69790.0,361.2,5.9,71,1,14,5242,2.0,0.0,3.0,1,86,3.767,1,96,3.759,1,3,25,1,6,23,2131.08,2.0
7,01-06 15 3,1,2,1,68.7,69790.0,367.0,-30.5,71,1,14,5215,2.0,0.0,3.0,1,86,3.822,1,96,3.816,1,3,25,1,6,23,-11193.5,2.0
8,01-06 15 3,1,2,1,60.0,69790.0,367.2,-25.7,72,1,14,5217,2.0,0.0,3.0,1,86,3.828,1,96,3.82,1,3,25,1,6,23,-9437.039999999999,2.0
9,01-06 15 3,1,3,1,47.8,69790.0,364.5,2.1,72,1,14,5085,2.0,0.0,3.0,1,86,3.815,1,96,3.808,1,3,25,1,6,23,765.45,2.0
10,01-06 15 3,1,3,1,54.6,69790.0,356.0,48.1,71,1,14,5092,2.0,0.0,3.0,1,86,3.7,1,96,3.686,1,3,25,1,6,23,17123.600000000002,2.0
11,01-06 15 3,1,3,1,56.8,69791.0,359.0,19.4,71,1,14,5212,2.0,0.0,3.0,1,86,3.744,1,96,3.735,1,3,25,1,6,23,6964.599999999999,3.0
12,01-06 15 3,1,3,1,60.8,69791.0,349.2,74.9,70,1,14,5222,2.0,0.0,3.0,1,86,3.648,1,96,3.629,1,3,25,1,6,23,26155.08,3.0
13,01-06 15 3,1,3,1,61.7,69791.0,355.2,20.3,69,1,14,5222,2.0,0.0,3.0,1,23,3.712,1,49,3.702,1,3,25,1,6,23,7210.56,3.0
14,01-06 15 3,1,2,1,40.1,69791.0,359.7,-1.3,69,1,14,5130,2.0,0.0,3.0,1,23,3.747,1,49,3.74,1,3,25,1,6,24,-467.61,3.0
15,01-06 15 3,1,3,1,49.5,69791.0,356.2,23.3,69,1,14,5110,2.0,0.0,3.0,1,23,3.712,1,49,3.702,1,3,25,1,6,24,8299.46,3.0
16,01-06 15 3,1,2,1,55.9,69791.0,360.7,-1.0,69,1,14,5155,2.0,0.0,3.0,1,23,3.759,1,49,3.753,1,3,25,1,6,24,-360.7,3.0
17,01-06 15 3,1,2,1,53.2,69791.0,365.2,-22.2,70,1,14,5162,2.0,0.0,3.0,1,23,3.805,1,49,3.796,1,3,25,1,6,24,-8107.44,3.0
18,01-06 15 3,1,2,1,31.8,69792.0,367.0,-30.1,70,1,14,5227,2.0,0.0,3.0,1,23,3.843,1,49,3.832,1,3,25,1,6,24,-11046.7,4.0
19,01-06 15 3,1,3,1,16.5,69792.0,358.2,30.7,70,1,14,5230,2.0,0.0,3.0,1,1,3.737,1,72,3.727,1,7,25,1,8,24,10996.74,4.0
20,01-06 15 3,1,2,1,18.3,69792.0,364.0,-11.7,69,1,14,5162,2.0,0.0,3.0,1,1,3.798,1,72,3.792,1,7,25,1,8,24,-4258.8,4.0
21,01-06 15 3,1,3,1,12.9,69792.0,360.2,14.0,69,1,14,5150,2.0,0.0,3.0,1,1,3.755,1,72,3.748,1,7,25,1,8,24,5042.8,4.0
22,01-06 15 3,1,3,1,2.4,69792.0,361.7,1.6,69,1,14,5202,2.0,0.0,3.0,1,1,3.771,1,72,3.764,1,7,25,1,8,24,578.72,4.0
23,01-06 15 3,1,3,2,0.0,69792.0,362.2,0.3,69,1,14,5202,1.0,1202.0,3.0,1,86,3.775,1,96,3.769,1,7,25,1,8,24,108.66,4.0
24,01-06 15 3,1,3,2,0.0,69792.0,362.2,0.1,69,1,14,5215,1.0,1202.0,3.0,1,86,3.775,1,96,3.769,1,7,25,1,8,24,36.22,4.0
25,01-06 15 3,1,3,2,7.4,69792.0,361.7,3.8,69,1,14,5215,1.0,1202.0,3.0,1,86,3.77,1,96,3.763,1,7,25,1,8,24,1374.4599999999998,4.0
26,01-06 15 3,1,2,2,6.4,69792.0,363.0,-1.8,69,1,14,5217,1.0,1201.0,3.0,1,86,3.782,1,96,3.776,1,7,25,1,8,24,-653.4,4.0
27,01-06 15 3,1,2,1,11.7,69792.0,364.5,-11.8,69,1,14,5260,1.0,1192.0,3.0,1,86,3.799,1,96,3.793,1,7,25,1,8,24,-4301.1,4.0
28,01-06 15 3,1,2,1,17.2,69792.0,364.2,-7.5,69,1,14,5255,1.0,1203.0,3.0,1,86,3.799,1,96,3.792,1,7,25,1,8,24,-2731.5,4.0
29,01-06 15 3,1,2,1,26.3,69792.0,366.0,-18.6,70,1,14,5172,1.0,1201.0,3.0,1,86,3.813,1,46,3.807,1,7,25,1,8,23,-6807.6,4.0
30,01-06 15 3,1,3,1,23.3,69792.0,362.7,5.4,70,1,14,5172,1.0,1205.0,3.0,1,86,3.786,1,46,3.779,1,7,25,1,8,23,1958.5800000000002,4.0
31,01-06 15 3,1,3,2,31.9,69792.0,362.0,9.1,70,1,14,5170,1.0,1402.0,3.0,1,86,3.776,1,46,3.769,1,7,25,1,8,24,3294.2,4.0
32,01-06 15 3,1,3,1,38.6,69792.0,360.2,22.7,70,1,14,5240,1.0,1371.0,3.0,1,86,3.76,1,69,3.75,1,7,25,1,8,24,8176.539999999999,4.0
33,01-06 15 3,1,3,2,37.2,69792.0,359.0,32.1,70,1,14,5235,1.0,1414.0,3.0,1,86,3.739,1,69,3.726,1,7,25,1,8,24,11523.9,4.0
34,01-06 15 3,1,3,2,50.9,69792.0,361.5,6.2,69,1,14,5285,1.0,1401.0,3.0,1,86,3.767,1,69,3.76,1,7,25,1,8,23,2241.3,4.0
35,01-06 15 3,1,2,2,45.3,69793.0,363.7,-4.0,70,1,14,5320,1.0,1206.0,3.0,1,86,3.794,1,69,3.787,1,7,25,1,8,24,-1454.8,5.0
36,01-06 15 3,1,2,1,24.5,69793.0,366.2,-14.0,70,1,14,5207,1.0,1205.0,3.0,1,86,3.817,1,69,3.809,1,7,25,1,8,24,-5126.8,5.0
37,01-06 15 3,1,3,2,1.7,69793.0,363.5,2.5,70,1,14,5205,2.0,0.0,3.0,1,86,3.79,1,69,3.782,1,7,25,1,8,24,908.75,5.0
38,01-06 15 3,1,3,2,0.0,69793.0,363.5,1.3,70,1,14,5212,2.0,0.0,3.0,1,86,3.79,1,7,3.782,1,7,25,1,8,23,472.55,5.0
39,01-06 15 3,1,3,2,0.0,69793.0,363.5,1.2,70,1,14,5212,2.0,0.0,3.0,1,86,3.789,1,7,3.781,1,7,25,1,8,23,436.2,5.0
40,01-06 15 3,1,3,1,5.2,69793.0,360.5,22.4,70,1,14,5215,2.0,0.0,3.0,1,86,3.766,1,7,3.758,1,7,25,1,8,24,8075.2,5.0
41,01-06 15 3,1,3,1,34.2,69793.0,355.0,46.9,69,1,14,5222,2.0,0.0,3.0,1,86,3.7,1,7,3.687,1,7,25,1,8,24,16649.5,5.0
42,01-06 15 3,1,3,1,49.4,69793.0,359.7,2.6,69,1,14,5210,2.0,0.0,3.0,1,86,3.746,1,7,3.738,1,7,25,1,8,24,935.22,5.0
43,01-06 15 3,1,2,1,46.6,69793.0,362.7,-8.8,69,1,14,5195,2.0,0.0,3.0,1,86,3.787,1,7,3.779,1,7,25,1,8,24,-3191.76,5.0
44,01-06 15 3,1,3,1,39.7,69793.0,356.0,37.3,69,1,14,5197,2.0,0.0,3.0,1,86,3.707,1,96,3.696,1,7,25,1,8,24,13278.8,5.0
45,01-06 15 3,1,3,1,44.9,69793.0,358.7,12.5,68,1,14,5160,2.0,0.0,3.0,1,86,3.734,1,96,3.726,1,7,25,1,8,24,4483.75,5.0
46,01-06 15 3,1,2,1,38.7,69793.0,363.2,-13.4,68,1,14,5157,2.0,0.0,3.0,1,86,3.783,1,96,3.777,1,7,25,1,8,24,-4866.88,5.0
47,01-06 15 3,1,3,1,37.4,69793.0,358.7,16.6,68,1,14,5210,2.0,0.0,3.0,1,86,3.748,1,96,3.74,1,7,25,1,8,24,5954.42,5.0
